# NES ROM information (CSV format)
# Fields: rom_id, name, country, crc, hardware, rom_class, mapper, submapper, nametable_layout, prg_rom_size, prg_rom_crc, prg_nvram_size, prg_ram_size, chr_rom_size, chr_rom_crc, chr_nvram_size, chr_ram_size, battery, vs_hardware_type, vs_ppu_type, expansion_type
# Each line is a single ROM entry. Empty fields are left blank.
160,Double Dragon II: The Revenge,,A66596D9,2,Licensed Japan,4,0,H,131072,FC6201E7,0,0,131072,8F84FE6D,0,0,0,,,1
161,Double Dragon,,6DCE4B23,2,Licensed Japan,1,0,H,131072,87BAD69B,0,0,131072,17CF68A0,0,0,0,,,1
162,Double Moon Densetsu,,A60FBA51,2,Licensed Japan,4,0,H,524288,A60FBA51,8192,0,0,,0,8192,1,,,1
163,Dough Boy,,F760F1CB,2,Licensed Japan,0,0,V,32768,48DC9540,0,0,8192,DDF4F626,0,0,0,,,1
164,Downtown Special: Kunio-kun no Jidaigeki Dayo Zenin Shuugou!,,DC45A886,2,Licensed Japan,4,0,H,131072,F3FEB3AB,8192,0,131072,3F6ACEEF,0,0,1,,,1
165,Downtown Nekketsu Monogatari,,2A3CA509,2,Licensed Japan,4,0,H,131072,728C3D98,0,0,131072,1C851E71,0,0,0,,,33
166,Downtown Nekketsu Koushinkyoku: Soreyuke Daiundoukai,,3E470FE0,2,Licensed Japan,4,0,H,131072,3E078F29,0,0,131072,AF6ED32E,0,0,0,,,3
167,Dr. Mario,,198C2F41,2,Licensed Japan,1,5,H,32768,CB02A930,0,0,32768,064D4AB3,0,0,0,,,1
168,Dr. Mario,,DE581355,2,Licensed Japan,1,5,H,32768,4D72A3E4,0,0,32768,064D4AB3,0,0,0,,,1
169,Dragon Ball 3: Gokuu Den,,6E68E31A,2,Licensed Japan,16,4,H,131072,8EDEB257,0,0,262144,C515B027,0,0,0,,,1
170,,,BFC7A2E9,2,Licensed Japan,16,4,H,131072,6C6C2FEB,0,0,262144,C515B027,0,0,0,,,1
171,Dragon Ball Z III: Ressen Jinzou Ningen,,DC52BF0C,2,Licensed Japan,16,5,H,262144,09499F4D,256,0,262144,E8FCFE95,0,0,1,,,1
172,Dragon Ball Z II: Gekishin Freeza!!,,99240573,2,Licensed Japan,16,5,H,262144,1582FEE0,256,0,262144,6E2DF8BD,0,0,1,,,1
173,Dragon Ball Z II: Gekishin Freeza!!,,A9541452,2,Licensed Japan,16,5,H,262144,E49FC53E,256,0,262144,6E2DF8BD,0,0,1,,,1
174,Dragon Ball Z Gaiden: Saiyajin Zetsumetsu Keikaku,,136CA449,2,Licensed Japan,16,5,H,262144,2E991109,256,0,262144,B6B9F9F7,0,0,1,,,1
175,Dragon Ball Z: Kyoushuu! Saiyajin,,183859D2,2,Licensed Japan,159,0,H,262144,31CD9903,128,0,262144,985CC355,0,0,1,,,1
176,Dragon Ball: Dai Maou Fukkatsu,,33B899C9,2,Licensed Japan,16,4,H,131072,7FB799FD,0,0,131072,5FE39059,0,0,0,,,1
177,Dragon Ball: Shen Long no Nazo,,9552E8DF,2,Licensed Japan,66,0,V,131072,BDAD07E0,0,0,32768,57D43926,0,0,0,,,1
178,Dragon Buster II: Yami no Fuuin,,D7AA0B6D,2,Licensed Japan,206,0,V,131072,33BD809C,0,0,65536,63ACA7CC,0,0,0,,,1
179,Dragon Buster,,7B6DC772,2,Licensed Japan,95,0,H,131072,C7A79BE2,0,0,32768,9F83FEFA,0,0,0,,,1
180,Dragon Fighter,,4B0DACCE,2,Licensed Japan,1,0,H,131072,0C4B76EC,0,0,131072,2195AB85,0,0,0,,,1
181,Dragon Ninja,,2A7D3ADF,2,Licensed Japan,19,2,H,131072,FBA98643,0,0,131072,1C4518A4,0,0,0,,,1
182,,,2AE535CA,2,Licensed Japan,19,2,H,131072,1151FED5,0,0,131072,1C4518A4,0,0,0,,,1
183,Dragon Quest III: Soshite Densetsu e...,,A49B48B8,2,Licensed Japan,1,0,H,262144,A49B48B8,8192,0,0,,0,8192,1,,,1
184,Dragon Quest III: Soshite Densetsu e...,,869501CA,2,Licensed Japan,1,0,H,262144,869501CA,8192,0,0,,0,8192,1,,,1
185,Dragon Quest II: Akuryou no Kamigami,,48349B0B,2,Licensed Japan,2,2,V,131072,48349B0B,0,0,0,,0,8192,0,,,1
186,,,2DD71ACB,2,Licensed Japan,1,0,H,524288,2DD71ACB,8192,0,0,,0,8192,1,,,1
187,Dragon Quest IV: Michibikareshi Mono-tachi,,0794F2A5,2,Licensed Japan,1,0,H,524288,0794F2A5,8192,0,0,,0,8192,1,,,1
188,Dragon Quest,,88053D25,2,Licensed Japan,3,2,V,32768,84EFD927,0,0,32768,62CE72F9,0,0,0,,,1
189,Dragon Scroll: Yomigaerishi Maryuu,,AC9895CC,2,Licensed Japan,23,3,H,131072,F60F6667,0,0,131072,46CC6146,0,0,0,,,1
190,Dragon Slayer IV: Drasle Family,,A5E6BAF9,2,Licensed Japan,206,0,V,131072,306EBBDE,0,0,65536,0E5F4719,0,0,0,,,1
191,Romancia,,CF9CF7A2,2,Licensed Japan,1,0,H,131072,CF9CF7A2,0,0,0,,0,8192,0,,,1
